wknr_2021;wkme_2021;land;z;wk_gewinner_party;wk_gewinner_share;wk_gewinner_mh;wk_zweiter;wk_zweiter_party;wk_zweiter_share;wk_zweiter_mh;Quelle;Abgerufen am
145;Hamm â€“ Un II;Nordrhein-Westfalen;Thews Michael Eckardt;SPD;40,60;0;Hilwig Arnd;CDU;26,50;0;https://www.arnd-hilwig.de/#zurperson;1.2.2023 13:55:00
146;Soest;Nordrhein-Westfalen;Thies Hans-Jürgen;CDU;33,10;0;Hellmich Wolfgang;SPD ;30,80;0;;
147;Hochsauerlandkreis;Nordrhein-Westfalen;Merz Joachim-Friedrich Martin Josef ;CDU;40,40;0;Wiese Dirk;SPD;32,20;0;;
148;Siegen-Wittgenstein;Nordrhein-Westfalen;Klein Volkmar;CDU;33,60;0;Lici-Bode Luiza;SPD;30,40;1;;
149;Olpe â€“ MÃ¤rkischer Kreis I;Nordrhein-Westfalen;Müller Florian Matthias ;CDU;37,10;0;Baradari Nezahat;SPD;29,60;1;;
150;MÃ¤rkischer Kreis II;Nordrhein-Westfalen;Ziemiak Paul;CDU;33,60;1;Lugk Betti;SPD;30,40;0;;
151;Nordsachsen;Sachsen;Bochmann René;AfD;27,80;0;Dr Schenderlein Christiane ;CDU;22,80;0;;
152;Leipzig I;Sachsen;Lehmann Jens;CDU;20,50;0;Mann Holger;SPD;20,20;0;;
153;Leipzig II;Sachsen;Pellmann Sören;LINKE;22,80;0;Dr Piechotta Paula Louise;Grüne;18,40;0;;
154;Leipzig-Land;Sachsen;ujok Edgar;AfD;24,60;0;von Breitenbuch Georg-Ludwig;CDU;24,40;0;https://www.georg-ludwigvonbreitenbuch.de/ueber-mich-1/vita;1.2.2023 13:56:00
155;MeiÃŸen;Sachsen;Lenk Barbara;AfD;31,00;0;Fischer Sebastian;CDU;22,30;0;https://www.landtag.sachsen.de/de/abgeordnete/abgeordnetensuche/abgeordneter?id=851&searchvalue=&searchwithdistrict=False&searchinactiverepresentatives=False;1.2.2023 13:59:00
156;Bautzen I;Sachsen;Hilse Karsten;AfD;33,40;0;Ermer Roland Albert;CDU;26,00;0;https://www.wochenkurier.info/bautzen/artikel/cdu-nominiert-roland-ermer-fuer-den-bundestag;1.2.2023 14:01:00
157;GÃ¶rlitz;Sachsen;Chrupalla Tino;AfD;35,80;0;Oest Florian;CDU;26,10;0;https://www.florianoest.de/ueber-mich-1;1.2.2023 14:02:00
158;SÃ¤chsische Schweiz-Osterzgebirge;Sachsen;Janich Steffen;AfD;33,00;0;Dr Franke-Wöller Corin ;CDU;19,20;;;
159;Dresden I;Sachsen;Dr Reichel Markus;CDU;21,10;0;Kipping Katja;LINKE;18,90;0;;
160;Dresden II â€“ Bautzen II;Sachsen;Rohwer Lars;CDU;18,60;0;Harlaß Andreas;AfD;18,60;0;https://andreas-harlass.de/;1.2.2023 14:06:00
161;Mittelsachsen;Sachsen;Bachmann Carolin;AfD;33,40;0;Bellmann Veronika Maria;CDU;23,80;0;;
162;Chemnitz;Sachsen;Müller Detlef;SPD;25,10;0;Klonovsky Michael ;AfD;21,90;;;
163;Chemnitzer Umland â€“ Erzgebirgskreis II;Sachsen;Moncsek Mike;AfD;28,90;0;Wanderwitz Marco;CDU;23,70;0;;
164;Erzgebirgskreis I;Sachsen;Dietz Thomas;AfD;31,70;0;Krauß Alexander;CDU;25,40;0;;
165;Zwickau;Sachsen;Moosdorf Matthias;AfD;25,60;0;Körber Carsten;CDU;21,20;0;;
166;Vogtlandkreis;Sachsen;Magwas Yvonne;CDU;27,70;0;Weiser Mathias;AfD;26,80;0;https://www.blick.de/vogtland/mathias-weiser-afd-den-mittelstand-durch-entlastungen-staerken-artikel11722908;1.2.2023 14:13:00
167;Waldeck;Hessen;Dilcher Esther;SPD;38,00;0;Schwarz Armin;CDU;26,30;0;;
168;Kassel;Hessen;Gremmels Timon;SPD;36,10;0;Aufenger Michael;CDU;20,40;0;https://www.michael-aufenanger.de/mein-werdegang;1.2.2023 14:14:00
169;Werra-MeiÃŸner â€“ Hersfeld-Rotenburg;Hessen;Roth Michael;SPD;43,70;0;Gebhard Wilhelm;CDU;26,80;0;https://www.osthessen-zeitung.de/einzelansicht/news/2021/september/bundestagswahl-wahlkreis-hersfeld-kandidat-wilhelm-gebhard.html;1.2.2023 14:16:00
170;Schwalm-Eder;Hessen;Dr Franke Edgar;SPD;39,30;0;Bischof Anna-Maria;CDU;24,00;0;https://www.bischof-cdu.de/Ueber-mich_p_28.html;1.2.2023 14:17:00
171;Marburg;Hessen;Bartol Sören;SPD;36,90;0;Dr Heck Stefan;CDU;26,10;0;;
172;Lahn-Dill;Hessen;Schmidt Dagmar;SPD;33,10;0;Irmer Hans-Jürgen;CDU;30,10;0;;
173;GieÃŸen;Hessen;Döring Felix;SPD;30,40;0;Dr Braun Helge;CDU;29,60;0;;
174;Fulda;Hessen;Brand Michael Karl;CDU;38,10;0;Kömpel Birgit;SPD;21,80;0;;
175;Main-Kinzig â€“ Wetterau II â€“ Schotten;Hessen;Müller Betti;SPD;30,50;0;Wiegelmann Johannes;CDU;27,50;0;https://www.johanneswiegelmann.de/;1.2.2023 14:18:00
176;Hochtaunus;Hessen;Koob Markus;CDU;31,30;0;Bokler Alicia Maria;SPD;27,00;0;https://alicia-bokler.spd.de/ueber-mich/;1.2.2023 14:19:00
177;Wetterau I;Hessen;Pawlik talie;SPD;29,70;1;Häuser Armin;CDU;28,30;0;https://de.wikipedia.org/wiki/Armin_H%C3%A4user;1.2.2023 14:20:00
178;Rheingau-Taunus â€“ Limburg;Hessen;Willsch Klaus-Peter;CDU;30,20;0;Rabanus Martin Hermann;SPD;28,50;0;;
179;Wiesbaden;Hessen;Jung Ingmar Ludwig;CDU;26,30;0;Ruf Nadine;SPD;25,80;0;https://www.nadine-ruf.de/familien-zeit/;1.2.2023 14:21:00
180;Hau;Hessen;Oehl Jan Lenrd;SPD;31,10;0;Dr Leikert Katja ;CDU;27,80;0;;
181;Main-Taunus;Hessen;Altenkamp Norbert Maria;CDU;33,30;0;Dr Seewald Ilja-Kristin;SPD;22,80;;;
182;Frankfurt am Main I;Hessen;Zornd Armand;SPD;29,00;0;Kaufmann Axel;CDU;21,70;0;https://www.abgeordnetenwatch.de/profile/axel-kaufmann;1.2.2023 14:24:00
183;Frankfurt am Main II;Hessen;Nouripour Omid;Grüne;29,00;1;Mansoori Kaweh;SPD;23,30;1;;
184;GroÃŸ-Gerau;Hessen;Wegling Melanie;SPD;33,50;0;Sauer Stefan;CDU;27,70;0;;
185;Offenbach;Hessen;Simon Björn Manuel;CDU;27,80;0;Firat Tuna;SPD;26,40;1;https://www.fr.de/rhein-main/offenbach/nach-berlin-11624848.html;1.2.2023 14:25:00
186;Darmstadt;Hessen;Larem Andreas;SPD;27,40;0;Wagner Daniela;Grüne;23,80;0;;
187;Odenwald;Hessen;Dr Zimmermann Jens;SPD;32,30;0;Lips Patricia;CDU;27,90;0;;
188;BergstraÃŸe;Hessen;Dr Meister Michael;CDU;30,50;0;Wingerter Sven;SPD;27,20;0;https://www.spd-hessen.de/personen/sven-wingerter/;1.2.2023 14:26:00
189;Eichsfeld â€“ Nordhausen â€“ KyffhÃ¤userkreis;ThÃ¼ringen;Grund Manfred;CDU;26,60;0;Pohl Jürgen Hans;AfD;22,70;0;;
190;Eisech â€“ Wartburgkreis â€“ Unstrut-Hainich-Kreis;ThÃ¼ringen;Stöber Klaus;AfD;24,80;0;Rudolph Ti;SPD;23,80;0;;
191;Je â€“ SÃ¶mmerda â€“ Weimarer Land I;ThÃ¼ringen;Dr Becker Holger;SPD;20,10;0;Braga Torben ;AfD;19,40;1;https://www.thueringer-landtag.de/abgeordnete/abgeordnete-fraktionen-sitzordnung/abgeordnetendetails/abgeordneter/torben-braga/;1.2.2023 14:27:00
192;Gotha â€“ Ilm-Kreis;ThÃ¼ringen;Bühl Marcus;AfD;26,50;0;Müller Michael Christian;SPD;23,50;0;;
193;Erfurt â€“ Weimar â€“ Weimarer Land II;ThÃ¼ringen;Schneider Carsten;SPD;24,40;0;Tillmann Antje;CDU;17,40;0;;
194;Gera â€“ Greiz â€“ Altenburger Land;ThÃ¼ringen;Brander Stephan Günther;AfD;29,00;0;Kaiser Elisabeth;SPD;22,20;0;;
195;Saalfeld-Rudolstadt â€“ Saale-Holzland-Kreis â€“ Saale-Orla-Kreis;ThÃ¼ringen;Prof Dr Kaufmann Michael;AfD;29,30;0;Weiler Albert Helmut;CDU;21,00;0;;
196;Suhl â€“ Schmalkalden-Meiningen â€“ Hildburghausen â€“ Sonneberg;ThÃ¼ringen;Ulrich Frank;SPD;33,60;0;Maaßen Hans-Georg;CDU;22,30;0;https://de.wikipedia.org/wiki/Hans-Georg_Maa%C3%9Fen;1.2.2023 14:28:00
197;Neuwied;Rheinland-Pfalz;Rüddel Erwin Josef;CDU;31,90;0;Diedenhofen Martin ;SPD;30,20;0;;
198;Ahrweiler;Rheinland-Pfalz;Heil Mechthild;CDU;34,30;0;Schmitt Christoph;SPD;30,20;;;
199;Koblenz;Rheinland-Pfalz;Oster Josef;CDU;31,70;0;Dr Rudolph Thorsten;SPD;29,90;0;;
200;Mosel/Rhein-HunsrÃ¼ck;Rheinland-Pfalz;Dr Bröhr Marlon;CDU;34,30;0;Maurer Michael Franz Josef;SPD;26,90;;;
201;Kreuzch;Rheinland-Pfalz;Dr Weingarten Joe;SPD;33,00;0;Klöckner Julia;CDU;29,10;0;;
202;Bitburg;Rheinland-Pfalz;Schnieder Patrick;CDU;37,80;0;Werner Le;SPD;27,40;0;;
203;Trier;Rheinland-Pfalz;Hubertz Vere Ute;SPD;33,00;0;Steier Andreas;CDU;27,70;0;;
204;Montabaur;Rheinland-Pfalz;Dr Machalet Tanja;SPD;31,50;0;Dr Nick Andreas;CDU;30,00;0;;
205;Mainz;Rheinland-Pfalz;Baldy Daniel;SPD;24,90;1;Groden-Kranich Ursula Maria Luise;CDU;23,60;0;;
206;Worms;Rheinland-Pfalz;Metzler Jan;CDU;32,20;0;Dr Maier David;SPD;30,30;0;https://www.davidmaier2021.de/ueber-mich/;1.2.2023 14:32:00
207;Ludwigshafen/Frankenthal;Rheinland-Pfalz;Schreider Christian Willi Heribert;SPD;32,80;0;Kartes Jens Torbjörn;CDU;25,00;0;;
208;Neustadt â€“ Speyer;Rheinland-Pfalz;Steiniger Johannes Eberhard;CDU;30,20;0;Mackensen-Geis Isabel Larissa;SPD;28,10;0;;
209;Kaiserslautern;Rheinland-Pfalz;Mieves Matthias David;SPD;33,90;0;Jung Xaver;CDU;21,50;0;;
210;Pirmasens;Rheinland-Pfalz;Glöckner Angelika;SPD;30,40;0;Bilic Florian;CDU;30,10;;;
211;SÃ¼dpfalz;Rheinland-Pfalz;Hitschler Thomas;SPD;28,20;0;Dr Gebhart Thomas;CDU;28,20;0;;
212;AltÃ¶tting;Bayern;Mayer Stephan;CSU;43,30;0;Heidrich Annette Mathilde;SPD;11,40;0;https://www.abgeordnetenwatch.de/profile/annette-heidrich;1.2.2023 14:35:00
213;Erding â€“ Ebersberg;Bayern;Dr Lenz Andreas ;CSU;42,30;0;Lochmüller Christoph Johannes;Grüne;14,90;0;https://christoph-lochmueller.de/ueber-mich;1.2.2023 14:35:00
214;Freising;Bayern;Irlstorfer Erich;CSU;36,20;0;Mehltretter Andreas ;SPD;13,50;0;;
215;FÃ¼rstenfeldbruck;Bayern;Staffler Katrin;CSU;38,00;0;Schrodi Michael Georg;SPD;19,30;0;;
216;Ingolstadt;Bayern;Dr Brandl Reinhard;CSU;44,90;0;Meier Jessica;SPD;13,90;;;
217;MÃ¼nchen-Nord;Bayern;Loos Bernhard Siegfried;CSU;25,70;0;Wagner Doris Else;Grüne;24,20;0;;
218;MÃ¼nchen-Ost;Bayern;Dr Stefinger Wolfgang Dieter;CSU;31,70;0;Rashid Vaniessa;Grüne;21,90;1;;
219;MÃ¼nchen-SÃ¼d;Bayern;Schäfer Jamila An;Grüne;27,50;0;Kuffer Michael Thomas;CSU;26,80;0;;
220;MÃ¼nchen-West/Mitte;Bayern;Pilsinger Stephan Nikolaus;CSU;27,00;0;Janecek Dieter Gerald;Grüne;26,90;1;;
221;MÃ¼nchen-Land;Bayern;Hahn Florian Peter;CSU;39,10;0;Dr Hofreiter Anton Gerhard;Grüne;20,40;0;;
222;Rosenheim;Bayern;Ludwig Daniela;CSU;36,10;0;Broßart Victoria;Grüne;13,80;0;https://victoria-brossart.de/ueber-mich/;1.2.2023 14:38:00
223;Bad TÃ¶lz-Wolfratshausen â€“ Miesbach;Bayern;Radwan Alexander Gamal;CSU;41,30;1;Bär Karl;Grüne;15,50;0;;
224;Starnberg â€“ Landsberg am Lech;Bayern;Kießling Michael;CSU;38,20;0;Neubauer Martina;Grüne;19,90;0;https://www.martina-neubauer.de/ueber-mich/;1.2.2023 14:40:00
225;Traunstein;Bayern;Dr Ramsauer Peter;CSU;36,60;0;Dr Kofler Bärbel;SPD;17,00;0;;
226;Weilheim;Bayern;Dobrindt Alexander;CSU;41,90;0;Dr Meierhofer Sigrid Elisabeth;SPD;14,40;0;https://de.wikipedia.org/wiki/Sigrid_Meierhofer;1.2.2023 14:41:00
227;Deggendorf;Bayern;Erndl Thomas Maximilian;CSU;37,40;0;Behringer Martin Werner;FREIE WÄHLER;15,60;;;
228;Landshut;Bayern;Oßner Florian;CSU;36,40;0;Bauer Nicole An Elisabeth;FDP;11,70;0;;
229;Passau;Bayern;Scheuer Andreas Franz;CSU;30,70;0;Schätzl Johannes;SPD;20,90;0;;
230;Rottal-Inn;Bayern;Straubinger Max;CSU;35,10;0;Schießl Werner;FREIE WÄHLER;16,70;0;https://www.fw-bayern.de/btw-2021/werner-schiessl;1.2.2023 14:42:00
231;Straubing;Bayern;Rainer Alois Georg Josef;CSU;44,30;0;Miazga Corin;AfD;12,70;0;;
232;Amberg;Bayern;Hierl Susanne;CSU;40,30;0;Foitzik Johannes Leo;SPD;16,00;;;
233;Regensburg;Bayern;Aumer Peter;CSU;35,30;0;Dr Wagner Carolin;SPD;16,60;0;;
234;Schwandorf;Bayern;Englhardt-Kopf Marti;CSU;35,10;0;Schieder Marianne;SPD;22,80;0;;
235;Weiden;Bayern;Rupprecht Albert Robert;CSU;38,50;0;Grötsch Ulrich Peter;SPD;22,50;0;;
236;Bamberg;Bayern;Silberhorn Thomas;CSU;37,00;0;Schwarz Andreas;SPD;19,00;0;;
237;Bayreuth;Bayern;Dr Launert Silke;CSU;42,40;0;Kramme Anette;SPD;19,40;0;;
238;Coburg;Bayern;Dr Geissler Jos Alexander Tecumseh;CSU;36,50;0;Brehm Ramo;SPD;26,10;0;https://www.np-coburg.de/inhalt.coburg-ramona-brehm-wird-spd-bundestagskandidatin.a2e38fbf-7467-421c-8a24-2da21d23df22.html;1.2.2023 14:45:00
239;Hof;Bayern;Dr Friedrich Hans Peter;CSU;41,20;0;Nürnberger Jörg Mathias;SPD;23,90;0;;
240;Kulmbach;Bayern;Zeulner Emmi;CSU;47,80;0;Moritz Simon Bodo;SPD;16,20;0;https://www.fraenkischertag.de/person/simon-moritz/;1.2.2023 14:46:00
241;Ansbach;Bayern;Auernhammer Artur;CSU;38,40;0;Scheuenstuhl Harry Herbert;SPD;17,70;0;https://www.bayern.landtag.de/abgeordnete/abgeordnete-von-a-z/profil/harry-scheuenstuhl/;1.2.2023 14:47:00
242;Erlangen;Bayern;Müller Stefan;CSU;35,10;0;Stamm-Fibich Marti Margarete;SPD;20,70;0;;
243;FÃ¼rth;Bayern;Winkler Tobias;CSU;33,50;0;Träger Carsten Dietmar;SPD;24,00;0;;
244;NÃ¼rnberg-Nord;Bayern;Brehm Sebastian;CSU;28,50;0;Ganserer Markus ;Grüne;22,60;0;;
245;NÃ¼rnberg-SÃ¼d;Bayern;Frieser Michael;CSU;34,40;0;Grämmer Thomas Robert;SPD;24,20;0;https://thomas-graemmer.spd.de/ueber-mich/;1.2.2023 14:48:00
246;Roth;Bayern;Edelhäußer Ralph;CSU;38,00;0;Plobner Jan Heinz Stefan;SPD;16,90;0;;
247;Aschaffenburg;Bayern;Lindholz Andrea;CSU;40,70;0;Wüst Tobias Rainer;SPD;17,10;0;https://tobias-wuest.spd.de/ueber-mich/;1.2.2023 14:50:00
248;Bad Kissingen;Bayern;Bär Dorothee ;CSU;39,10;0;Dittmar Sabine;SPD;19,00;0;;
249;Main-Spessart;Bayern;Hoffmann Alexander;CSU;38,60;0;Rützel Bernd Ferdind;SPD;21,50;0;;
250;Schweinfurt;Bayern;Dr Weisgerber Anja;CSU;40,90;0;Hümpfer Markus Klaus;SPD;18,60;0;;
251;WÃ¼rzburg;Bayern;Lehrieder Paul Alois;CSU;36,90;0;Hansen Johannes Sebastian;Grüne;19,80;0;https://seb-hansen.de/ueber-mich;1.2.2023 14:50:00
252;Augsburg-Stadt;Bayern;Dr Ullrich Volker Michael;CSU;28,10;0;Roth Claudia Benedikta;Grüne;20,60;0;;
253;Augsburg-Land;Bayern;Durz Hansjörg;CSU;40,60;0;Heubach Heike;SPD;14,50;;;
254;Dou-Ries;Bayern;Lange Ulrich;CSU;41,10;0;Schmid Christoph Florian;SPD;19,20;0;;
255;Neu-Ulm;Bayern;Engelhard Alexander;CSU;37,20;0;Dr Brunner Karl Heinz;SPD;16,00;0;;
256;OberallgÃ¤u;Bayern;Wittmann Mechthilde;CSU;29,70;0;Holderied Martin Basil;SPD;15,80;;;
257;OstallgÃ¤u;Bayern;Stracke Stephan;CSU;38,80;0;Leenders Regina;SPD;12,30;;;
258;Stuttgart I;Baden-WÃ¼rttemberg;Özdemir Cem;Grüne;39,90;1;Dr Kaufmann Stefan;CDU;23,40;0;;
259;Stuttgart II;Baden-WÃ¼rttemberg;Mörseburg Maximilian Rick;CDU;25,90;0;Dr Christmann An Maria;Grüne;23,70;0;;
260;BÃ¶blingen;Baden-WÃ¼rttemberg;Biadacz Marc Josef;CDU;29,70;0;Hostert Jasmi;SPD;21,10;1;;
261;Esslingen;Baden-WÃ¼rttemberg;Grübler Markus;CDU;32,00;0;Paraschaki Argyri;SPD;21,80;1;;
262;NÃ¼rtingen;Baden-WÃ¼rttemberg;Hennrich Michael;CDU;30,10;0;Dr Schmid Nils Hermann;SPD;21,00;0;;
263;GÃ¶ppingen;Baden-WÃ¼rttemberg;Färber Hermann ;CDU;31,00;0;Baehrens Heike Charlotte;SPD;23,70;0;;
264;Waiblingen;Baden-WÃ¼rttemberg;Stumpp Christi Daniela;CDU;29,00;0;Abelein Urs Jakob;SPD;22,70;0;https://urs-abelein.spd.de/ueber-mich/;1.2.2023 15:09:00
265;Ludwigsburg;Baden-WÃ¼rttemberg;Bilger Steffen Rudi;CDU;29,50;0;Dr Detzer Sandra;Grüne;20,30;0;;
266;Neckar-Zaber;Baden-WÃ¼rttemberg;Gramling Fabian Benedikt Meinrad;CDU;30,40;0;Utz Thomas;SPD;22,50;;;
267;Heilbronn;Baden-WÃ¼rttemberg;Throm Alexander Richard;CDU;27,80;0;Juratovic Josip;SPD;24,30;1;;
268;SchwÃ¤bisch Hall â€“ Hohenlohe;Baden-WÃ¼rttemberg;Freiherr von Stetten Christian Alexander ;CDU;32,10;1;Leiser Kevin;SPD;19,60;0;;
269;Backng â€“ SchwÃ¤bisch GmÃ¼nd;Baden-WÃ¼rttemberg;Dr Gräßle Ingeborg Gabriele;CDU;30,50;0;Schwab Tim-Luka;SPD;24,40;0;https://www.bkz.de/nachrichten/hoch-motiviert-trotz-letztem-listenplatz-105579.html;1.2.2023 15:13:00
270;Aalen â€“ Heidenheim;Baden-WÃ¼rttemberg;Kiesewetter Roderich;CDU;37,00;0;Breymaier Leni;SPD;21,90;0;;
271;Karlsruhe-Stadt;Baden-WÃ¼rttemberg;Mayer Zoe;Grüne;30,00;0;Marvi Parsa;SPD;21,30;1;;
272;Karlsruhe-Land;Baden-WÃ¼rttemberg;Zippelius Nicolas Benjamin;CDU;30,40;0;Diebold Patrick Michael;SPD;22,80;;;
273;Rastatt;Baden-WÃ¼rttemberg;Whittaker Kai Thorsten;CDU;33,20;1;Katzmarek Gabriele;SPD;22,70;0;;
274;Heidelberg;Baden-WÃ¼rttemberg;Dr Brantner Franziska Kathari;Grüne;30,20;0;Föhr Alexander Paul;CDU;24,10;0;https://de.wikipedia.org/wiki/Alexander_F%C3%B6hr;1.2.2023 15:16:00
275;Mannheim;Baden-WÃ¼rttemberg;Cademartori Dujisin Isabel Andrea;SPD;26,40;1;Sekmen Melis;Grüne;22,50;1;;
276;Odenwald â€“ Tauber;Baden-WÃ¼rttemberg;Warken Ni Ingrid;CDU;35,80;0;Lotz Anja;SPD;20,60;0;https://www.anja-lotz-spd.de/ueber-mich/;1.2.2023 15:17:00
277;Rhein-Neckar;Baden-WÃ¼rttemberg;Oppelt Moritz Paul Georg;CDU;28,50;0;Dr Castelucci Lars ;SPD;27,00;1;;
278;Bruchsal â€“ Schwetzingen;Baden-WÃ¼rttemberg;Gutting Olav Steffen;CDU;29,60;0;Yildirim Nezaket;SPD;21,90;1;;
279;Pforzheim;Baden-WÃ¼rttemberg;Krichbaum Gunther;CDU;28,50;0;Mast Katja Wilma;SPD;20,90;0;;
280;Calw;Baden-WÃ¼rttemberg;Mack Klaus;CDU;33,80;0;Esken Saskia Christi;SPD;17,20;0;;
281;Freiburg;Baden-WÃ¼rttemberg;Kopf Chantal Johan Siglinde;Grüne;28,80;0;Söhne Julia Sophie;SPD;26,30;0;https://www.julia-soehne.de/ueber-mich/;1.2.2023 15:20:00
282;LÃ¶rrach â€“ MÃ¼llheim;Baden-WÃ¼rttemberg;Stöcker Dia Iris;CDU;25,20;0;Mehmet Ali Takis;SPD;21,80;1;;
283;Emmendingen â€“ Lahr;Baden-WÃ¼rttemberg;Bury Yannick;CDU;27,80;0;Dr Fechner Johannes;SPD;27,80;0;;
284;Offenburg;Baden-WÃ¼rttemberg;Dr Schäuble Wolfgang;CDU;34,90;0;Katsch Matthias;SPD;18,70;0;https://de.wikipedia.org/wiki/Matthias_Katsch;1.2.2023 15:22:00
285;Rottweil â€“ Tuttlingen;Baden-WÃ¼rttemberg;Weiss Maria-Le;CDU;31,50;0;Dr Anton Andreas;FDP;16,80;0;https://de.wikipedia.org/wiki/Andreas_Anton;1.2.2023 15:22:00
286;Schwarzwald-Baar;Baden-WÃ¼rttemberg;Frei Thorsten;CDU;36,40;0;Türk-chbaur Deya;SPD;18,10;1;;
287;Konstanz;Baden-WÃ¼rttemberg;Jung Andreas;CDU;34,10;0;Dr Seitzl Li;SPD;20,10;0;;
288;Waldshut;Baden-WÃ¼rttemberg;Schreiner Felix;CDU;33,60;0;Schwarzelühr-Sutter Rita Berta;SPD;25,50;0;;
289;Reutlingen;Baden-WÃ¼rttemberg;Donth Michael;CDU;32,50;0;Dr Bausch Ulrich;SPD;17,90;0;https://de.wikipedia.org/wiki/Ulrich_Bausch;1.2.2023 15:23:00
290;TÃ¼bingen;Baden-WÃ¼rttemberg;Widmann-Mauz Annette;CDU;28,00;0;Kühn Christian;Grüne;26,70;0;;
291;Ulm;Baden-WÃ¼rttemberg;Kemmer Ronja Helene;CDU;32,70;0;Emmerich Marcel;Grüne;18,80;0;;
292;Biberach;Baden-WÃ¼rttemberg;Rief josef;CDU;35,10;0;Gerster Martin;SPD;18,60;0;;
293;Bodensee;Baden-WÃ¼rttemberg;Mayer-Lay Volker;CDU;30,40;0;Hanhn Leon Maria Michael;SPD;20,80;0;https://www.abgeordnetenwatch.de/profile/leon-hahn;1.2.2023 15:24:00
294;Ravensburg;Baden-WÃ¼rttemberg;Müller Axel Karl;CDU;30,60;0;Brugger Agniezka;Grüne;21,10;1;;
295;Zollerlb â€“ Sigmaringen;Baden-WÃ¼rttemberg;Bareiß Thomas ;CDU;30,10;0;Mesarosch Robin;SPD;18,30;1;;
296;SaarbrÃ¼cken;Saarland;Ortleb Josephine Loulou;SPD;36,90;0;Kramp-Karrenbauer Annegret;CDU;25,10;0;;
297;Saarlouis;Saarland;Maas Heiko;SPD;36,70;0;Altmaier Peter;CDU;28,00;0;;
298;St. Wendel;Saarland;Petry Christian;SPD;35,10;0;Schön dine;CDU;32,10;0;;
299;Homburg;Saarland;Limbacher Esra-Leon Ruben;SPD;36,60;0;Uhl Markus Alexander;CDU;26,10;0;;